;Aporte;AportePred;AporteMediaMovilQ;AporteMediaMovilS;AporteMediaMovilA;AportePredMediaMovilQ;AportePredMediaMovilS;AportePredMediaMovilA;Empresa
2021-11-01;158561000000.0;48296509525;92186486372.0;75974465086.0;74036968952.0;64254661789.0;64743191602.0;62740512431.0;Emp2
2021-12-01;109244000000.0;91021006967;101542949630.0;84360323993.0;77285708351.0;69771307398.0;66741121724.0;66349092968.0;Emp2
2022-01-01;35006457304.0;103937333350;100937152435.0;85470626323.0;74617009309.0;81084949947.0;72578311746.0;69589289999.0;Emp2
2022-02-01;58407453936.0;63784579648;67552637080.0;79869561726.0;71610295234.0;86247639988.0;75251150889.0;70248677860.0;Emp2
2022-03-01;72305298824.0;102026781111;55239736688.0;78391343159.0;72388316374.0;89916231370.0;79843769384.0;73905575799.0;Emp2
2022-04-01;16500410314.0;83056102212;49071054358.0;75004103396.0;70170432174.0;82955820990.0;82020385469.0;74597618344.0;Emp2
2022-05-01;136452000000.0;42399227390;75085903046.0;71319270063.0;73646867574.0;75827370238.0;81037505113.0;72890348358.0;Emp2
2022-06-01;133556000000.0;65025227038;95502803438.0;75371270063.0;79865797028.0;63493518880.0;76704875125.0;71722998424.0;Emp2
2022-07-01;143290000000.0;97832254496;137766000000.0;93418527179.0;89444576751.0;68418902975.0;75687361982.0;74132836864.0;Emp2
2022-08-01;219816000000.0;81983672518;165554000000.0;120319951523.0;100094756625.0;81613718017.0;78720544128.0;76985847508.0;Emp2
2022-09-01;92508567686.0;155591724304;151871522562.0;123687163000.0;101039253080.0;111802550439.0;87648034660.0;83745902022.0;Emp2
2022-10-01;125658000000.0;147873418590;145994189229.0;141880094614.0;108442099005.0;128482938471.0;98450920723.0;90235653096.0;Emp2
2022-11-01;78426016192.0;131883365545;98864194626.0;132209097313.0;101764183688.0;145116169480.0;113364943748.0;97201224431.0;Emp2
2022-12-01;135151000000.0;156646963412;113078338731.0;132474930646.0;103923100355.0;145467915849.0;128635233144.0;102670054134.0;Emp2
2023-01-01;98463027986.0;100214504486;104013348059.0;125003768644.0;109211147912.0;129581611148.0;129032274809.0;102359818396.0;Emp2
2023-02-01;142151000000.0;119024798744;125255009329.0;112059601977.0;116189776750.0;125295422214.0;135205795847.0;106963169987.0;Emp2
2023-03-01;94530628244.0;101063816735;111714885410.0;112396612070.0;118041887535.0;106767706655.0;126117811252.0;106882922956.0;Emp2
2023-04-01;151194000000.0;125790866438;129291876081.0;116652612070.0;129266353342.0;115293160639.0;122437385893.0;110444153308.0;Emp2
2023-05-01;2505771567.0;111665926618;82743466604.0;103999237966.0;118104167640.0;112840203264.0;119067812739.0;116216378244.0;Emp2
2023-06-01;96256057098.0;111661831556;83318609555.0;97516747482.0;114995839064.0;116372874871.0;111570290763.0;120102761954.0;Emp2
2023-07-01;59367059082.0;75142827703;52709629249.0;91000752665.0;108002260655.0;99490195292.0;107391677966.0;118211976387.0;Emp2
2023-08-01;262718000000.0;107090588776;139447038727.0;111095252665.0;111577427321.0;97965082678.0;105402642971.0;120304219409.0;Emp2
2023-09-01;7213140256.0;78715548696;109766066446.0;96542338000.0;104469475035.0;86982988392.0;101677931631.0;113897871442.0;Emp2
2023-10-01;47683108642.0;117862647024;105871416299.0;79290522774.0;97971567422.0;101222928165.0;100356561729.0;111396973811.0;Emp2
2023-11-01;;25427344379;;;;74001846700.0;85983464689.0;102525638714.0;Emp2
2023-12-01;;149518106350;;;;97602699251.0;92292843821.0;101931567292.0;Emp2
2024-01-01;;43193010781;;;;72712820503.0;86967874334.0;97179776150.0;Emp2
2024-02-01;;84202926902;;;;92304681344.0;83153264022.0;94277953496.0;Emp2
2024-03-01;;35996308371;;;;54464082018.0;76033390634.0;88855661133.0;Emp2
2024-04-01;;95883126264;;;;72027453846.0;72370137174.0;86363349452.0;Emp2
2024-05-01;;69100059788;;;;66993164808.0;79648923076.0;82816193882.0;Emp2
2024-06-01;;92692732712;;;;85891972921.0;70178027470.0;81235435646.0;Emp2
2024-07-01;;44086775306;;;;68626522602.0;70326988224.0;78647431279.0;Emp2
2024-08-01;;177415101287;;;;104731536435.0;85862350621.0;84507807322.0;Emp2
2024-09-01;;44660583178;;;;88720819924.0;87306396422.0;81669893528.0;Emp2
2024-10-01;;71045016735;;;;97706900400.0;83166711501.0;77768424338.0;Emp2
2024-11-01;;50140748012;;;;55282115975.0;80006826205.0;79827874640.0;Emp2
2024-12-01;;116407840876;;;;79197868541.0;83959344232.0;77068685851.0;Emp2
2025-01-01;;52674186779;;;;73074258556.0;85390579478.0;77858783851.0;Emp2
2025-02-01;;86634401474;;;;85238809710.0;70260462842.0;78061406732.0;Emp2
2025-03-01;;57144244973;;;;65484277742.0;72341073142.0;79823734782.0;Emp2
2025-04-01;;86371874060;;;;76716840169.0;74895549362.0;79031130432.0;Emp2
2025-05-01;;75697591508;;;;73071236847.0;79155023278.0;79580924742.0;Emp2
